,land_area,percent_city,percent_senior,physicians,hospital_beds,graduates,work_force,income,region,crime_rate
60,16653,95.57136439439594,3.848928171472399,11922,26633,55.339181345731305,3934.344651830238,44838,2,66.01824944066219
61,2591,42.32135770708367,18.114206954416026,16332,68040,59.83193874690518,431.89707414739206,30036,1,56.89488968667325
62,18939,90.21080365342836,15.000753645168913,2162,26216,72.07077167001697,3568.8504750862908,20952,3,57.08309084874615
63,4716,93.35830547920153,18.82114237172051,7904,33365,69.47472602022737,211.55144799230646,22418,2,82.7089185809638
64,12827,91.89027609002962,14.299935128853576,25133,59749,40.36445845936453,2400.2822689791155,66140,3,50.71648455184324
65,9029,44.689072025669425,20.28899117691753,16059,54224,32.75962153525678,312.15859125099144,26143,3,50.37254026702715
66,26496,71.64562815827875,13.373812715458985,13052,37766,72.81298813173436,1521.7496686654208,30228,1,23.524351703527813
67,27051,70.89080147895038,9.105913685368826,5137,25009,69.72748187802395,1309.0933556456398,15360,1,78.8658005875129
68,19065,45.262528474507775,12.06301003185406,18153,29834,35.89786373553729,455.671160312847,34857,3,74.5574102237711
69,14608,47.80243430475244,21.886931689991297,10596,7492,70.23702412191615,2766.45613066717,16920,1,58.45402252087074
70,3924,79.61106697937757,16.438297448511058,13797,47801,62.87705392818569,153.92577268364505,60050,1,39.48929168078874
71,17565,80.34903578115188,21.15321070732433,14242,61262,34.7690767862749,2435.662671817735,27512,3,76.20939877168655
72,12574,65.03188302341634,19.94159747314759,6883,52195,62.86526291107164,826.283610945034,9573,2,29.278624674227537
73,20179,67.02123044670891,10.722165799678729,22756,39088,66.90410171511783,301.9406361124632,40837,2,30.43962508130533
74,19889,57.42660770762515,21.307393436648585,25113,35781,31.89307447082828,2009.8972261864444,31075,2,37.903927747817775
75,8105,71.54180925283526,10.039398105496687,6753,4688,48.636157450839434,2535.4192229080395,19439,1,80.32445110707597
76,13896,76.30125741858453,13.518306319591264,15077,12601,47.49502068777976,1695.2262196609345,54788,3,69.27839016227983
77,21964,59.37248730440649,5.342718391330813,23451,10116,71.15537415945953,481.75901879251035,44468,3,25.024389678057076
78,20428,94.56315029269082,21.14536320781505,5977,36632,38.337207267940904,143.61859134113172,61302,3,46.52599723404963
79,6805,40.01877174209111,13.524750358940121,3448,34664,31.26513974157866,646.4116786072327,7997,2,80.1498225922955
80,13643,52.92506835836316,6.575976689254157,15380,25011,48.688425608206416,2188.769159639096,61010,3,47.469975222280155
81,3403,15.907290745734784,20.01201237090468,25549,38189,67.70650555272574,2841.751524298395,58971,2,70.65515323229175
82,19501,52.880804701090376,15.426566663478638,19629,56973,53.731079641287195,596.6685445320775,67435,3,40.53376695657772
83,16755,87.17053036514768,10.959343319335575,219,57908,71.65023260630602,82.30741805186985,5899,1,33.83122743804454
84,12045,75.71910566914215,21.29165848302587,15340,5043,47.9324537243393,1736.3399450030233,9872,1,68.3365014898585
85,14599,45.608163621179145,3.825038634981884,18841,6515,43.78857084186056,3516.5949676343744,31160,1,50.9867054882063
86,19594,62.92165906180981,17.82177089903492,6231,34862,47.463888673386364,3663.490857125155,41349,1,65.43057172776668
87,5088,60.06601239401994,17.7919330686738,9830,40336,50.819472284221085,846.2090526653677,17389,3,75.964685097064
88,17617,97.83411774314878,9.244913056162545,24494,41814,61.23768913949331,3985.1762903236413,66916,2,38.64032575346486
89,4042,50.17581604599534,5.747880463207432,13776,23780,42.33047796463737,3824.0012057864087,22476,3,47.68730866029161
90,6882,35.0844852331194,12.549422987163293,14132,17108,47.6345341861071,1582.879942746819,36337,2,67.51471626145562
91,14514,52.853103362602575,14.66349708620849,4700,12389,58.73359064493413,1902.151315767425,62241,2,37.77335944866171
92,18212,31.79681568806395,7.112902586646572,14042,49564,62.021447393371915,2183.4399135875137,24094,1,23.234122806062228
93,8425,18.980109558282464,8.584422918926059,24348,22556,55.91518585347397,2936.518786404304,21996,2,30.42886699406333
94,24835,87.39623843285615,13.838321340799986,4339,31123,33.61860868563652,2144.192152738293,42616,2,25.217080512879978
95,2643,84.82748130622842,15.901765844925027,16897,24324,67.87351279094588,3012.4957814637205,23347,2,67.13448192423132
96,16043,77.24832500324693,3.8932686532693204,21680,57087,69.46296627487854,2920.771831505493,17188,3,53.41988296421617
97,16491,24.457836357422103,15.048661955906585,12583,50690,42.27713358791874,1431.1318675200387,7190,3,39.051606734523844
98,26912,89.05002124338081,12.703249393921034,20734,44785,38.12161422423963,2206.582982731203,27406,2,42.98390999327975
